"id","participant_id","group_name","event_type","element_id","task_id","timestamp","metadata","session_start"
"1148","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","message-send","chat-input",,"2026-06-22 07:32:26.262684+00","{""phase"":""part1"",""message"":""Um wie viel gehen GPS-Satellitenuhren netto ungefähr pro Tag schneller als Uhren auf Meereshöhe, wenn relativistische Effekte berücksichtigt werden?"",""username"":""känguru"",""client_ts"":""2026-06-22T07:32:26.298Z"",""message_index"":8}","2026-06-22 07:25:12.285+00"
"1141","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","source-link-hover-start","source-link",,"2026-06-22 07:30:54.582955+00","{""url"":""https://www.britannica.com/topic/Halleys-Comet"",""phase"":""part1"",""domain"":""britannica.com"",""username"":""känguru"",""client_ts"":""2026-06-22T07:30:53.747Z"",""message_id"":""1782113450541""}","2026-06-22 07:25:12.285+00"
"1156","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","paste","chat-input",,"2026-06-22 07:36:04.329283+00","{""phase"":""part2"",""username"":""känguru"",""client_ts"":""2026-06-22T07:36:04.103Z"",""timestamp"":""2026-06-22T07:36:04.103Z"",""pasted_length"":68,""pasted_content"":""Beschreibe das Jevons-Paradoxon im Bereich der Energieeffizienz.\r\n\r\n"",""input_length_before"":0}","2026-06-22 07:25:12.285+00"
"1144","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","source-link-hover-start","source-link",,"2026-06-22 07:31:25.886394+00","{""url"":""https://de.wikipedia.org/wiki/Halleyscher_Komet"",""phase"":""part1"",""domain"":""de.wikipedia.org"",""username"":""känguru"",""client_ts"":""2026-06-22T07:31:25.726Z"",""message_id"":""1782113450541""}","2026-06-22 07:25:12.285+00"
"1152","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","paste","chat-input",,"2026-06-22 07:33:59.527397+00","{""phase"":""part2"",""username"":""känguru"",""client_ts"":""2026-06-22T07:33:59.375Z"",""timestamp"":""2026-06-22T07:33:59.374Z"",""pasted_length"":85,""pasted_content"":""Welcher exakte Zahlenwert definiert seit der SI-Neudefinition die Planck-Konstante h?"",""input_length_before"":0}","2026-06-22 07:25:12.285+00"
"1135","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","message-send","chat-input",,"2026-06-22 07:29:00.607991+00","{""phase"":""part1"",""message"":""Beschreibe das Ellsberg-Paradoxon in der Entscheidungstheorie in ein bis 3 sätzen"",""username"":""känguru"",""client_ts"":""2026-06-22T07:29:00.415Z"",""message_index"":4}","2026-06-22 07:25:12.285+00"
"1136","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","copy","message-1782113346423",,"2026-06-22 07:29:48.164897+00","{""phase"":""part1"",""length"":237,""username"":""känguru"",""client_ts"":""2026-06-22T07:29:47.991Z"",""text_preview"":""Das Ellsberg-Paradoxon ist ein Gedankenexperiment aus der Entscheidungstheorie, das zeigt, dass Entscheidungen stark davon abhängen, wie Wahrscheinlichkeiten präsentiert werden, selbst wenn die zugrun…""}","2026-06-22 07:25:12.285+00"
"1161","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","source-link-hover-start","highlight-source-seg_185",,"2026-06-22 07:39:59.051964+00","{""url"":""https://science.nasa.gov/venus/venus-facts/"",""phase"":""part2"",""username"":""känguru"",""client_ts"":""2026-06-22T07:39:58.937Z"",""message_id"":""1782113994854""}","2026-06-22 07:25:12.285+00"
"1130","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","message-send","chat-input",,"2026-06-22 07:27:25.854866+00","{""phase"":""part1"",""message"":""Welcher Druck entspricht einer Standardatmosphäre?"",""username"":""känguru"",""client_ts"":""2026-06-22T07:27:25.846Z"",""message_index"":2}","2026-06-22 07:25:12.285+00"
"1125","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","login","login-form-submit",,"2026-06-22 07:25:13.738695+00","{""id"":""c6acb088-6e37-4d2c-ad90-94a5d24ee095"",""group"":""beta"",""phase"":""part1"",""username"":""känguru"",""client_ts"":""2026-06-22T07:25:12.286Z"",""participantId"":""c6acb088-6e37-4d2c-ad90-94a5d24ee095""}","2026-06-22 07:25:12.285+00"
"1127","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","paste","chat-input",,"2026-06-22 07:26:33.5192+00","{""phase"":""part1"",""username"":""känguru"",""client_ts"":""2026-06-22T07:26:33.194Z"",""timestamp"":""2026-06-22T07:26:33.194Z"",""pasted_length"":82,""pasted_content"":""Welcher exakte Zahlenwert gehört seit der SI-Neudefinition zur Avogadro-Konstante?"",""input_length_before"":0}","2026-06-22 07:25:12.285+00"
"1138","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","paste","chat-input",,"2026-06-22 07:30:43.522518+00","{""phase"":""part1"",""username"":""känguru"",""client_ts"":""2026-06-22T07:30:43.350Z"",""timestamp"":""2026-06-22T07:30:43.350Z"",""pasted_length"":84,""pasted_content"":""Wie lange dauert ein regulärer Umlauf des Halleyschen Kometen um die Sonne ungefähr?"",""input_length_before"":0}","2026-06-22 07:25:12.285+00"
"1134","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","paste","chat-input",,"2026-06-22 07:28:53.096848+00","{""phase"":""part1"",""username"":""känguru"",""client_ts"":""2026-06-22T07:28:52.897Z"",""timestamp"":""2026-06-22T07:28:52.897Z"",""pasted_length"":64,""pasted_content"":""Beschreibe das Ellsberg-Paradoxon in der Entscheidungstheorie.\r\n"",""input_length_before"":0}","2026-06-22 07:25:12.285+00"
"1164","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","paste","chat-input",,"2026-06-22 07:40:57.497778+00","{""phase"":""part2"",""username"":""känguru"",""client_ts"":""2026-06-22T07:40:57.381Z"",""timestamp"":""2026-06-22T07:40:57.381Z"",""pasted_length"":74,""pasted_content"":""Wie groß ist die durchschnittliche Entfernung zwischen Erde und Mond?\r\n\r\n*"",""input_length_before"":0}","2026-06-22 07:25:12.285+00"
"1155","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","message-send","chat-input",,"2026-06-22 07:35:20.67256+00","{""phase"":""part2"",""message"":""Welche Zahl gehört zur heutigen SI-Definition der Sekunde über Caesium-133"",""username"":""känguru"",""client_ts"":""2026-06-22T07:35:20.705Z"",""message_index"":2}","2026-06-22 07:25:12.285+00"
"1169","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","message-send","chat-input",,"2026-06-22 07:43:03.862147+00","{""phase"":""part2"",""message"":""Wie tief ist das Challenger Deep im Marianengraben ungefähr?"",""username"":""känguru"",""client_ts"":""2026-06-22T07:43:03.954Z"",""message_index"":7}","2026-06-22 07:25:12.285+00"
"1143","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","message-send","chat-input",,"2026-06-22 07:31:19.728462+00","{""phase"":""part1"",""message"":""Wie lange dauert ein mittlerer Sonnentag auf dem Mars, ein sogenannter Sol?"",""username"":""känguru"",""client_ts"":""2026-06-22T07:31:19.752Z"",""message_index"":6}","2026-06-22 07:25:12.285+00"
"1170","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","source-link-hover-start","highlight-source-seg_165",,"2026-06-22 07:48:32.715317+00","{""url"":""https://oceanservice.noaa.gov/facts/oceandepth.html"",""phase"":""part2"",""username"":""känguru"",""client_ts"":""2026-06-22T07:48:32.089Z"",""message_id"":""1782114189957""}","2026-06-22 07:25:12.285+00"
"1140","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","source-link-hover-end","source-link",,"2026-06-22 07:30:53.941217+00","{""url"":""https://www.britannica.com/topic/Halleys-Comet"",""phase"":""part1"",""domain"":""britannica.com"",""username"":""känguru"",""client_ts"":""2026-06-22T07:30:53.775Z"",""message_id"":""1782113450541"",""hover_duration_ms"":28}","2026-06-22 07:25:12.285+00"
"1142","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","paste","chat-input",,"2026-06-22 07:31:16.137962+00","{""phase"":""part1"",""username"":""känguru"",""client_ts"":""2026-06-22T07:31:15.940Z"",""timestamp"":""2026-06-22T07:31:15.940Z"",""pasted_length"":79,""pasted_content"":""Wie lange dauert ein mittlerer Sonnentag auf dem Mars, ein sogenannter Sol?\r\n\r\n"",""input_length_before"":0}","2026-06-22 07:25:12.285+00"
"1154","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","paste","chat-input",,"2026-06-22 07:35:20.152069+00","{""phase"":""part2"",""username"":""känguru"",""client_ts"":""2026-06-22T07:35:19.999Z"",""timestamp"":""2026-06-22T07:35:19.999Z"",""pasted_length"":74,""pasted_content"":""Welche Zahl gehört zur heutigen SI-Definition der Sekunde über Caesium-133"",""input_length_before"":0}","2026-06-22 07:25:12.285+00"
"1149","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","source-link-hover-start","source-link",,"2026-06-22 07:32:44.206272+00","{""url"":""https://de.wikipedia.org/wiki/Global_Positioning_System"",""phase"":""part1"",""domain"":""de.wikipedia.org"",""username"":""känguru"",""client_ts"":""2026-06-22T07:32:44.044Z"",""message_id"":""1782113552299""}","2026-06-22 07:25:12.285+00"
"1157","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","message-send","chat-input",,"2026-06-22 07:36:14.811661+00","{""phase"":""part2"",""message"":""Beschreibe das Jevons-Paradoxon im Bereich der Energieeffizienz in ein bis 3 sätzen"",""username"":""känguru"",""client_ts"":""2026-06-22T07:36:14.676Z"",""message_index"":3}","2026-06-22 07:25:12.285+00"
"1147","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","paste","chat-input",,"2026-06-22 07:32:25.815616+00","{""phase"":""part1"",""username"":""känguru"",""client_ts"":""2026-06-22T07:32:25.651Z"",""timestamp"":""2026-06-22T07:32:25.650Z"",""pasted_length"":148,""pasted_content"":""Um wie viel gehen GPS-Satellitenuhren netto ungefähr pro Tag schneller als Uhren auf Meereshöhe, wenn relativistische Effekte berücksichtigt werden?"",""input_length_before"":0}","2026-06-22 07:25:12.285+00"
"1165","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","message-send","chat-input",,"2026-06-22 07:41:00.11006+00","{""phase"":""part2"",""message"":""Wie groß ist die durchschnittliche Entfernung zwischen Erde und Mond?"",""username"":""känguru"",""client_ts"":""2026-06-22T07:41:00.190Z"",""message_index"":5}","2026-06-22 07:25:12.285+00"
"1126","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","login","login-form-submit",,"2026-06-22 07:25:56.985047+00","{""id"":""c6acb088-6e37-4d2c-ad90-94a5d24ee095"",""group"":""beta"",""phase"":""part1"",""username"":""känguru"",""client_ts"":""2026-06-22T07:25:56.755Z"",""participantId"":""c6acb088-6e37-4d2c-ad90-94a5d24ee095""}","2026-06-22 07:25:12.285+00"
"1146","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","message-send","chat-input",,"2026-06-22 07:31:48.631456+00","{""phase"":""part1"",""message"":""Welches Produkt wurde 1974 als erstes mit einem UPC-Barcode an einer Supermarktkasse gescannt?"",""username"":""känguru"",""client_ts"":""2026-06-22T07:31:48.627Z"",""message_index"":7}","2026-06-22 07:25:12.285+00"
"1166","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","paste","chat-input",,"2026-06-22 07:41:59.393749+00","{""phase"":""part2"",""username"":""känguru"",""client_ts"":""2026-06-22T07:41:59.273Z"",""timestamp"":""2026-06-22T07:41:59.273Z"",""pasted_length"":75,""pasted_content"":""Welchen Durchmesser hat der Primärspiegel des Hubble-Weltraumteleskops?\r\n\r\n"",""input_length_before"":0}","2026-06-22 07:25:12.285+00"
"1139","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","message-send","chat-input",,"2026-06-22 07:30:44.542281+00","{""phase"":""part1"",""message"":""Wie lange dauert ein regulärer Umlauf des Halleyschen Kometen um die Sonne ungefähr?"",""username"":""känguru"",""client_ts"":""2026-06-22T07:30:44.533Z"",""message_index"":5}","2026-06-22 07:25:12.285+00"
"1158","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","copy","message-1782113780681",,"2026-06-22 07:38:37.175325+00","{""phase"":""part2"",""length"":378,""username"":""känguru"",""client_ts"":""2026-06-22T07:38:36.979Z"",""text_preview"":""Das Jevons-Paradoxon besagt, dass Effizienzgewinne häufig teilweise durch zusätzliche Nutzung ausgeglichen werden, sodass die erwarteten Einsparungen geringer ausfallen als angenommen. Wenn eine Resso…""}","2026-06-22 07:25:12.285+00"
"1121","6d7771da-aa68-4091-bbc1-576889442301","gamma","source-link-hover-end","source-link",,"2026-06-21 17:22:55.417913+00","{""url"":""https://de.wikipedia.org/wiki/Global_Positioning_System"",""phase"":""part2"",""domain"":""de.wikipedia.org"",""username"":""vj"",""client_ts"":""2026-06-21T17:22:55.006Z"",""message_id"":""1782062484724"",""hover_duration_ms"":16}","2026-06-21 17:05:04.051+00"
"1120","6d7771da-aa68-4091-bbc1-576889442301","gamma","source-link-hover-start","source-link",,"2026-06-21 17:22:55.40221+00","{""url"":""https://de.wikipedia.org/wiki/Global_Positioning_System"",""phase"":""part2"",""domain"":""de.wikipedia.org"",""username"":""vj"",""client_ts"":""2026-06-21T17:22:54.990Z"",""message_id"":""1782062484724""}","2026-06-21 17:05:04.051+00"
"1111","6d7771da-aa68-4091-bbc1-576889442301","gamma","source-link-hover-start","source-link",,"2026-06-21 17:21:01.170511+00","{""url"":""https://de.wikipedia.org/wiki/Universal_Product_Code"",""phase"":""part2"",""domain"":""de.wikipedia.org"",""username"":""vj"",""client_ts"":""2026-06-21T17:21:00.793Z"",""message_id"":""1782062447488""}","2026-06-21 17:05:04.051+00"
"1084","6d7771da-aa68-4091-bbc1-576889442301","gamma","source-link-hover-start","highlight-source-seg_151",,"2026-06-21 17:13:31.026647+00","{""url"":""https://science.nasa.gov/moon/facts/"",""phase"":""part1"",""username"":""vj"",""client_ts"":""2026-06-21T17:13:30.635Z"",""message_id"":""1782062003483""}","2026-06-21 17:05:04.051+00"
"1099","6d7771da-aa68-4091-bbc1-576889442301","gamma","source-link-hover-start","source-link",,"2026-06-21 17:17:46.688302+00","{""url"":""https://de.wikipedia.org/wiki/Standardatmosph%C3%A4re"",""phase"":""part2"",""domain"":""de.wikipedia.org"",""username"":""vj"",""client_ts"":""2026-06-21T17:17:46.307Z"",""message_id"":""1782062247929""}","2026-06-21 17:05:04.051+00"
"1104","6d7771da-aa68-4091-bbc1-576889442301","gamma","message-send","chat-input",,"2026-06-21 17:19:24.674006+00","{""phase"":""part2"",""message"":""Wie lang dauert ein regulärer Umlauf des Halleyschen Kometen um die Sonne ungefähr?"",""username"":""vj"",""client_ts"":""2026-06-21T17:19:24.289Z"",""message_index"":4}","2026-06-21 17:05:04.051+00"
"1103","6d7771da-aa68-4091-bbc1-576889442301","gamma","source-link-hover-end","source-link",,"2026-06-21 17:18:09.374239+00","{""url"":""https://de.wikipedia.org/wiki/Avogadro-Konstante"",""phase"":""part2"",""domain"":""de.wikipedia.org"",""username"":""vj"",""client_ts"":""2026-06-21T17:18:08.995Z"",""message_id"":""1782062196427"",""hover_duration_ms"":11}","2026-06-21 17:05:04.051+00"
"1115","6d7771da-aa68-4091-bbc1-576889442301","gamma","source-link-click","source-link",,"2026-06-21 17:21:02.434286+00","{""url"":""https://www.gs1.org/standards/barcodes"",""phase"":""part2"",""domain"":""gs1.org"",""username"":""vj"",""client_ts"":""2026-06-21T17:21:02.078Z"",""message_id"":""1782062447488""}","2026-06-21 17:05:04.051+00"
"1118","6d7771da-aa68-4091-bbc1-576889442301","gamma","paste","chat-input",,"2026-06-21 17:21:17.111607+00","{""phase"":""part2"",""username"":""vj"",""client_ts"":""2026-06-21T17:21:16.731Z"",""timestamp"":""2026-06-21T17:21:16.731Z"",""pasted_length"":148,""pasted_content"":""Um wie viel gehen GPS-Satellitenuhren netto ungefähr pro Tag schneller als Uhren auf Meereshöhe, wenn relativistische Effekte berücksichtigt werden?"",""input_length_before"":0}","2026-06-21 17:05:04.051+00"
"1117","6d7771da-aa68-4091-bbc1-576889442301","gamma","source-link-hover-start","source-link",,"2026-06-21 17:21:06.691844+00","{""url"":""https://de.wikipedia.org/wiki/Halleyscher_Komet"",""phase"":""part2"",""domain"":""de.wikipedia.org"",""username"":""vj"",""client_ts"":""2026-06-21T17:21:06.287Z"",""message_id"":""1782062370297""}","2026-06-21 17:05:04.051+00"
"1110","6d7771da-aa68-4091-bbc1-576889442301","gamma","message-send","chat-input",,"2026-06-21 17:20:41.737065+00","{""phase"":""part2"",""message"":""Welches Produkt wurde 1974 als erestes mit einem UPC-Barcode an einer Supermarktkasse gescannt"",""username"":""vj"",""client_ts"":""2026-06-21T17:20:41.355Z"",""message_index"":6}","2026-06-21 17:05:04.051+00"
"1096","6d7771da-aa68-4091-bbc1-576889442301","gamma","phase-advance","end-part1-button",,"2026-06-21 17:15:27.906844+00","{""group"":""gamma"",""phase"":""part1"",""to_phase"":""part2"",""username"":""vj"",""client_ts"":""2026-06-21T17:15:27.727Z"",""timestamp"":""2026-06-21T17:15:27.727Z"",""from_phase"":""part1""}","2026-06-21 17:05:04.051+00"
"1116","6d7771da-aa68-4091-bbc1-576889442301","gamma","source-link-hover-end","source-link",,"2026-06-21 17:21:06.689238+00","{""url"":""https://de.wikipedia.org/wiki/Halleyscher_Komet"",""phase"":""part2"",""domain"":""de.wikipedia.org"",""username"":""vj"",""client_ts"":""2026-06-21T17:21:06.294Z"",""message_id"":""1782062370297"",""hover_duration_ms"":7}","2026-06-21 17:05:04.051+00"
"1088","6d7771da-aa68-4091-bbc1-576889442301","gamma","source-link-hover-start","highlight-source-seg_151",,"2026-06-21 17:14:26.491184+00","{""url"":""https://science.nasa.gov/mission/hubble/overview/about-hubble/"",""phase"":""part1"",""username"":""vj"",""client_ts"":""2026-06-21T17:14:26.091Z"",""message_id"":""1782062059613""}","2026-06-21 17:05:04.051+00"
"1098","6d7771da-aa68-4091-bbc1-576889442301","gamma","message-send","chat-input",,"2026-06-21 17:17:22.309331+00","{""phase"":""part2"",""message"":""Welcher Druck entspricht einer Standardatmosphäre?"",""username"":""vj"",""client_ts"":""2026-06-21T17:17:21.913Z"",""message_index"":2}","2026-06-21 17:05:04.051+00"
"1112","6d7771da-aa68-4091-bbc1-576889442301","gamma","source-link-hover-start","source-link",,"2026-06-21 17:21:02.042044+00","{""url"":""https://www.gs1.org/standards/barcodes"",""phase"":""part2"",""domain"":""gs1.org"",""username"":""vj"",""client_ts"":""2026-06-21T17:21:01.871Z"",""message_id"":""1782062447488""}","2026-06-21 17:05:04.051+00"
"1089","6d7771da-aa68-4091-bbc1-576889442301","gamma","source-link-click","highlight-source-seg_151",,"2026-06-21 17:14:26.757564+00","{""url"":""https://science.nasa.gov/mission/hubble/overview/about-hubble/"",""phase"":""part1"",""title"":""NASA: About Hubble"",""username"":""vj"",""client_ts"":""2026-06-21T17:14:26.561Z"",""message_id"":""1782062059613""}","2026-06-21 17:05:04.051+00"
"1108","6d7771da-aa68-4091-bbc1-576889442301","gamma","source-link-hover-start","source-link",,"2026-06-21 17:20:24.027345+00","{""url"":""https://mars.nasa.gov/"",""phase"":""part2"",""domain"":""mars.nasa.gov"",""username"":""vj"",""client_ts"":""2026-06-21T17:20:23.664Z"",""message_id"":""1782062400345""}","2026-06-21 17:05:04.051+00"
"1119","6d7771da-aa68-4091-bbc1-576889442301","gamma","message-send","chat-input",,"2026-06-21 17:21:18.848806+00","{""phase"":""part2"",""message"":""Um wie viel gehen GPS-Satellitenuhren netto ungefähr pro Tag schneller als Uhren auf Meereshöhe, wenn relativistische Effekte berücksichtigt werden?"",""username"":""vj"",""client_ts"":""2026-06-21T17:21:18.660Z"",""message_index"":7}","2026-06-21 17:05:04.051+00"
"1097","6d7771da-aa68-4091-bbc1-576889442301","gamma","message-send","chat-input",,"2026-06-21 17:16:30.802417+00","{""phase"":""part2"",""message"":""Servus. Beantworte ausschließlich die Frage mit der richtigen Zahl, ohne Erklärung etc.: Welcher exakte Zahlenwert gehört seit der SI-Neudefinition zur Avogadro-Konstante?"",""username"":""vj"",""client_ts"":""2026-06-21T17:16:30.412Z"",""message_index"":1}","2026-06-21 17:05:04.051+00"
"1085","6d7771da-aa68-4091-bbc1-576889442301","gamma","source-link-click","highlight-source-seg_151",,"2026-06-21 17:13:31.224481+00","{""url"":""https://science.nasa.gov/moon/facts/"",""phase"":""part1"",""title"":""NASA Moon Facts"",""username"":""vj"",""client_ts"":""2026-06-21T17:13:31.033Z"",""message_id"":""1782062003483""}","2026-06-21 17:05:04.051+00"
"1074","6d7771da-aa68-4091-bbc1-576889442301","gamma","message-send","chat-input",,"2026-06-21 17:08:52.851222+00","{""phase"":""part1"",""message"":""Danke. Erkläre bitte nun kurz und knapp auf die wichtigsten Punkte runtergebrochen das Jevons-Paradoxon im Bereich der Energieeffizienz"",""username"":""vj"",""client_ts"":""2026-06-21T17:08:52.443Z"",""message_index"":3}","2026-06-21 17:05:04.051+00"
